experiment,system,eval_domain,k,seed,n_test,mean_macro_f1,f1_MI,ci_low_MI,ci_high_MI,f1_ML,ci_low_ML,ci_high_ML,f1_PG,ci_low_PG,ci_high_PG,f1_AC,ci_low_AC,ci_high_AC,ece_mean,max_shortcut_gap
e,tfidf_prog_only,programming,32,3,162,0.26888335181654854,0.26368159203980096,0.2331258562153791,0.2857219662058371,0.2414698162729659,0.20671567685309755,0.2712484187223276,0.27106227106227104,0.24875424464976706,0.29429734302830746,0.29931972789115646,0.28310286895838715,0.3136123680241327,0.22498577731093475,
e,tfidf_prog_only,programming,32,4,162,0.32190057939163663,0.3475942956150873,0.2740136272429125,0.409414189679807,0.3696260229980317,0.2796786108906833,0.44722344489547494,0.27106227106227104,0.24800770412949324,0.2943740981240981,0.29931972789115646,0.2842072104660276,0.3137254901960784,0.22408905113733252,-0.3873710367689359
e,tfidf_prog_only,programming,64,0,162,0.35397426510780317,0.32112994350282487,0.25499754901960786,0.37350045845314983,0.2414698162729659,0.20621468926553674,0.27125152323551693,0.44081632653061226,0.30367980453416654,0.6226470336562298,0.4124809741248097,0.29456922635217214,0.5499777144887223,0.2490441684215025,-0.6039850571259182
e,tfidf_prog_only,programming,64,1,162,0.3015713318762626,0.26368159203980096,0.23285110288585958,0.2869212283790203,0.37222173651182217,0.2540499764262141,0.4630563017648974,0.27106227106227104,0.24836434573829533,0.2947854839146814,0.29931972789115646,0.28373450770682607,0.3136177851422259,0.22777807632936653,0.15301547556380407
e,tfidf_prog_only,programming,64,2,162,0.45113635652848016,0.404672605094546,0.25429048351118344,0.5398943342325009,0.38392367757421075,0.24749176240092619,0.4886394163363276,0.5155789592409311,0.3804386578485491,0.6102899959117939,0.5003701842042328,0.3545426911456097,0.5990373568079848,0.2153957525166485,-0.32211634051525473
e,tfidf_prog_only,programming,64,3,162,0.3118355032123443,0.31963109354413705,0.2410670518207283,0.4114551301189232,0.3573289203518127,0.29758757058621227,0.41878746609822665,0.27106227106227104,0.24875424464976706,0.29429734302830746,0.29931972789115646,0.28310286895838715,0.3136123680241327,0.18764977657129145,-0.31869195751849444
e,tfidf_prog_only,programming,64,4,162,0.38196719850440686,0.26368159203980096,0.23284389037648334,0.2863276299112801,0.44429882044560937,0.3614610752291645,0.5078481433416044,0.40740740740740744,0.25156809181966416,0.6039673932057517,0.4124809741248097,0.2889608309409692,0.5436017482908196,0.26431665868240173,-0.21141227763205223
e,tfidf_prog_only,programming,8,0,162,0.2362020393813942,0.33038573508005825,0.27396737181772185,0.3907352497893684,0.26912568306010926,0.1932429604055231,0.34075328407224953,0.04597701149425287,0.008266105042716763,0.07921184975640419,0.29931972789115646,0.2832796281314704,0.3132537669474892,0.1980020178085848,-0.41832125748231996
e,tfidf_prog_only,programming,8,1,162,0.26888335181654854,0.26368159203980096,0.23285110288585958,0.2869212283790203,0.2414698162729659,0.20851016536076913,0.27083498677248674,0.27106227106227104,0.24836434573829533,0.2947854839146814,0.29931972789115646,0.28373450770682607,0.3136177851422259,0.17863582797291527,
e,tfidf_prog_only,programming,8,2,162,0.27094926856710666,0.2719452590420332,0.22229191487119238,0.32433304529813173,0.2414698162729659,0.20549175627240146,0.26984264293952875,0.27106227106227104,0.24896985730319066,0.29420141262246524,0.29931972789115646,0.28484801576132845,0.31354674560792506,0.1881624584240124,-0.3550524836009889
e,tfidf_prog_only,programming,8,3,162,0.2907011514504534,0.30212573496155587,0.24429071512658834,0.34762321686275144,0.29029687188683,0.22749531439186613,0.3555270074829081,0.27106227106227104,0.24875424464976706,0.29429734302830746,0.29931972789115646,0.28310286895838715,0.3136123680241327,0.26556796312277453,-0.6243502969658207
e,tfidf_prog_only,programming,8,4,162,0.2233888333559366,0.19089409323604944,0.11408857273522628,0.27326853633880577,0.13464696223316913,0.0886319845857418,0.17985005375431448,0.26869455006337134,0.24737776425238384,0.28905088622069747,0.29931972789115646,0.2842072104660276,0.3137254901960784,0.23066045743489239,-0.3465793703201947
